description,name,PONAME,ZIP,latitude,POP2001,STATE,AREA,zip2,longitude,SUMBLKPOP,geometry
,Zip:,SAN CARLOS,94070,37.4956,27505,CA,6.87477,94070,-122.271,27452,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.256116,37.517223,0.0 -122.248418,37.521622,0.0 -122.244569,37.507876,0.0 -122.244569,37.494129,0.0 -122.302306,37.493029,0.0 -122.256116,37.517223,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN GREGORIO,94074,37.2988,187,CA,15.30342,94074,-122.368,173,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.305605,37.284079,0.0 -122.40898,37.286828,0.0 -122.405131,37.325319,0.0 -122.330899,37.316521,0.0 -122.305605,37.284079,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SOUTH SAN FRANCISCO,94080,37.6551,61118,CA,9.92566,94080,-122.423,60590,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.402932,37.635995,0.0 -122.403482,37.635446,0.0 -122.463967,37.638745,0.0 -122.471665,37.649192,0.0 -122.460118,37.666788,0.0 -122.429325,37.683284,0.0 -122.388085,37.668988,0.0 -122.402932,37.635995,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SUNNYVALE,94085,37.388,22279,CA,3.2483,94085,-122.016,21741,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.98668,37.388554,0.0 -121.98668,37.377556,0.0 -122.003726,37.377007,0.0 -122.047166,37.386904,0.0 -122.044416,37.394053,0.0 -122.035069,37.400651,0.0 -121.98668,37.388554,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SUNNYVALE,94086,37.3716,45417,CA,4.62566,94086,-122.023,44872,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.059813,37.375357,0.0 -122.052115,37.386904,0.0 -122.047166,37.386904,0.0 -122.003726,37.377007,0.0 -122.000977,37.352262,0.0 -122.059263,37.374807,0.0 -122.059813,37.375357,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SUNNYVALE,94087,37.3512,50452,CA,6.61281,94087,-122.037,50427,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.062562,37.359411,0.0 -122.059263,37.374807,0.0 -122.000977,37.352262,0.0 -122.002626,37.337966,0.0 -122.062562,37.337416,0.0 -122.062562,37.359411,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SUNNYVALE,94089,37.4246,16530,CA,12.20496,94089,-122.016,16144,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.059813,37.434193,0.0 -122.060363,37.44519,0.0 -122.020222,37.461137,0.0 -121.974583,37.417697,0.0 -121.98668,37.388554,0.0 -122.035069,37.400651,0.0 -122.059813,37.434193,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94102,37.7796,30156,CA,0.67233,94102,-122.419,29826,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.406231,37.78556,0.0 -122.426026,37.769614,0.0 -122.428226,37.769614,0.0 -122.428776,37.778962,0.0 -122.427676,37.782261,0.0 -122.41173,37.788859,0.0 -122.406231,37.78556,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94103,37.7731,23547,CA,1.32402,94103,-122.411,23099,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.426576,37.764665,0.0 -122.426026,37.769614,0.0 -122.406231,37.78556,0.0 -122.403482,37.78776,0.0 -122.399083,37.78391,0.0 -122.405131,37.764665,0.0 -122.426576,37.764665,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94104,37.7914,9,CA,0.07033,94104,-122.402,9,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.403482,37.78776,0.0 -122.404581,37.792708,0.0 -122.399083,37.791059,0.0 -122.403482,37.78776,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94105,37.7885,2147,CA,0.44424,94105,-122.394,2094,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.403482,37.78776,0.0 -122.403482,37.78776,0.0 -122.399083,37.791059,0.0 -122.391934,37.794358,0.0 -122.387535,37.782811,0.0 -122.399083,37.78391,0.0 -122.403482,37.78776,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94107,37.7661,17501,CA,2.37833,94107,-122.394,17185,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.379837,37.753118,0.0 -122.404031,37.749269,0.0 -122.405131,37.764665,0.0 -122.399083,37.78391,0.0 -122.387535,37.782811,0.0 -122.379837,37.753118,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94108,37.7918,13975,CA,0.27642,94108,-122.408,13932,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.403482,37.78776,0.0 -122.406231,37.78556,0.0 -122.41173,37.788859,0.0 -122.415029,37.794908,0.0 -122.405131,37.796008,0.0 -122.404581,37.792708,0.0 -122.403482,37.78776,0.0 -122.403482,37.78776,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94109,37.7931,54056,CA,1.04898,94109,-122.421,53849,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.41173,37.788859,0.0 -122.427676,37.782261,0.0 -122.429875,37.794908,0.0 -122.426576,37.807555,0.0 -122.419428,37.808655,0.0 -122.415029,37.794908,0.0 -122.41173,37.788859,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94110,37.7497,74158,CA,2.3996,94110,-122.415,73837,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.428776,37.734972,0.0 -122.424927,37.748719,0.0 -122.426576,37.764665,0.0 -122.405131,37.764665,0.0 -122.404031,37.749269,0.0 -122.406781,37.735522,0.0 -122.420528,37.732223,0.0 -122.428776,37.734972,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94111,37.7983,3055,CA,0.35779,94111,-122.399,3308,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.399083,37.791059,0.0 -122.404581,37.792708,0.0 -122.405131,37.796008,0.0 -122.400732,37.805905,0.0 -122.391934,37.794358,0.0 -122.399083,37.791059,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94112,37.7205,76623,CA,3.30863,94112,-122.443,75619,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.420528,37.732223,0.0 -122.427126,37.708028,0.0 -122.468916,37.708028,0.0 -122.462318,37.722875,0.0 -122.444172,37.731673,0.0 -122.428776,37.734972,0.0 -122.420528,37.732223,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94114,37.7581,32168,CA,1.46457,94114,-122.436,32160,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.424927,37.748719,0.0 -122.45132,37.759716,0.0 -122.428226,37.769614,0.0 -122.426026,37.769614,0.0 -122.426576,37.764665,0.0 -122.424927,37.748719,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94115,37.7859,32328,CA,1.09641,94115,-122.437,32046,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.428776,37.778962,0.0 -122.444722,37.776762,0.0 -122.447471,37.791609,0.0 -122.446371,37.792708,0.0 -122.429875,37.794908,0.0 -122.427676,37.782261,0.0 -122.428776,37.778962,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94116,37.7446,43146,CA,2.64449,94116,-122.487,42869,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.510156,37.749818,0.0 -122.463417,37.753118,0.0 -122.459018,37.747069,0.0 -122.471116,37.737721,0.0 -122.508507,37.735522,0.0 -122.510156,37.749818,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94117,37.7707,38853,CA,1.21813,94117,-122.443,38899,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.456819,37.763565,0.0 -122.45462,37.774563,0.0 -122.444722,37.776762,0.0 -122.428776,37.778962,0.0 -122.428226,37.769614,0.0 -122.45132,37.759716,0.0 -122.456819,37.763565,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94118,37.7819,38970,CA,1.65488,94118,-122.461,38933,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.45462,37.774563,0.0 -122.475515,37.772913,0.0 -122.476614,37.78721,0.0 -122.447471,37.791609,0.0 -122.444722,37.776762,0.0 -122.45462,37.774563,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94121,37.7799,42478,CA,2.18087,94121,-122.495,42386,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.475515,37.772913,0.0 -122.513456,37.771263,0.0 -122.485962,37.790509,0.0 -122.476614,37.78721,0.0 -122.475515,37.772913,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94122,37.7629,55814,CA,4.13986,94122,-122.485,55498,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.456819,37.763565,0.0 -122.463417,37.753118,0.0 -122.510156,37.749818,0.0 -122.513456,37.771263,0.0 -122.475515,37.772913,0.0 -122.45462,37.774563,0.0 -122.456819,37.763565,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94123,37.8008,25387,CA,1.13376,94123,-122.436,25240,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.446371,37.792708,0.0 -122.448571,37.807005,0.0 -122.426576,37.807555,0.0 -122.429875,37.794908,0.0 -122.446371,37.792708,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94124,37.7311,33794,CA,4.91482,94124,-122.386,33174,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.393584,37.708028,0.0 -122.406781,37.735522,0.0 -122.404031,37.749269,0.0 -122.379837,37.753118,0.0 -122.393584,37.708028,0.0 -122.393584,37.708028,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94127,37.7353,18435,CA,1.669,94127,-122.46,18403,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.462318,37.722875,0.0 -122.471116,37.737721,0.0 -122.459018,37.747069,0.0 -122.444172,37.731673,0.0 -122.462318,37.722875,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94128,37.6216,0,CA,3.22082,94128,-122.383,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.403482,37.635446,0.0 -122.402932,37.635995,0.0 -122.402932,37.635995,0.0 -122.384786,37.635446,0.0 -122.377638,37.606852,0.0 -122.396333,37.613451,0.0 -122.403482,37.635446,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94129,37.7974,2182,CA,2.37306,94129,-122.466,2299,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.448571,37.807005,0.0 -122.446371,37.792708,0.0 -122.447471,37.791609,0.0 -122.476614,37.78721,0.0 -122.485962,37.790509,0.0 -122.448571,37.807005,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94130,37.8207,1329,CA,0.88364,94130,-122.37,1453,
,Zip:,SAN FRANCISCO,94131,37.7462,28956,CA,2.22574,94131,-122.444,28832,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.428776,37.734972,0.0 -122.444172,37.731673,0.0 -122.459018,37.747069,0.0 -122.463417,37.753118,0.0 -122.456819,37.763565,0.0 -122.45132,37.759716,0.0 -122.424927,37.748719,0.0 -122.428776,37.734972,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94132,37.7219,26654,CA,4.04411,94132,-122.486,26340,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.471116,37.708578,0.0 -122.503008,37.708028,0.0 -122.508507,37.735522,0.0 -122.471116,37.737721,0.0 -122.462318,37.722875,0.0 -122.468916,37.708028,0.0 -122.471116,37.708578,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94133,37.8038,27208,CA,0.7732,94133,-122.411,26682,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.400732,37.805905,0.0 -122.405131,37.796008,0.0 -122.415029,37.794908,0.0 -122.419428,37.808655,0.0 -122.400732,37.805905,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN FRANCISCO,94134,37.719,39497,CA,2.42215,94134,-122.413,38751,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.420528,37.732223,0.0 -122.406781,37.735522,0.0 -122.393584,37.708028,0.0 -122.405681,37.708578,0.0 -122.427126,37.708028,0.0 -122.420528,37.732223,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,PALO ALTO,94301,37.444,16254,CA,2.43382,94301,-122.15,16186,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.15439,37.432543,0.0 -122.165388,37.441891,0.0 -122.171436,37.44684,0.0 -122.145043,37.458387,0.0 -122.130746,37.434193,0.0 -122.15439,37.432543,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,PALO ALTO,94303,37.4539,44853,CA,8.45146,94303,-122.122,44019,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.102153,37.415498,0.0 -122.130746,37.434193,0.0 -122.145043,37.458387,0.0 -122.127997,37.499078,0.0 -122.090606,37.450689,0.0 -122.102153,37.415498,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,PALO ALTO,94304,37.3994,2282,CA,8.5567,94304,-122.173,2253,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.15714,37.418247,0.0 -122.141743,37.395152,0.0 -122.202229,37.36326,0.0 -122.193431,37.411648,0.0 -122.171436,37.44684,0.0 -122.165388,37.441891,0.0 -122.15714,37.418247,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,STANFORD,94305,37.4241,13320,CA,2.39367,94305,-122.165,13311,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.165388,37.441891,0.0 -122.15439,37.432543,0.0 -122.15714,37.418247,0.0 -122.165388,37.441891,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,PALO ALTO,94306,37.4155,24586,CA,3.77753,94306,-122.129,24514,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.116999,37.4034,0.0 -122.141743,37.395152,0.0 -122.15714,37.418247,0.0 -122.15439,37.432543,0.0 -122.130746,37.434193,0.0 -122.102153,37.415498,0.0 -122.108201,37.408349,0.0 -122.116999,37.4034,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN MATEO,94401,37.5743,31425,CA,3.01395,94401,-122.319,31155,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.293508,37.567812,0.0 -122.302306,37.560663,0.0 -122.346845,37.57221,0.0 -122.333648,37.587607,0.0 -122.293508,37.567812,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN MATEO,94402,37.5414,24701,CA,5.0563,94402,-122.333,24742,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.361142,37.53152,0.0 -122.346845,37.57221,0.0 -122.302306,37.560663,0.0 -122.329249,37.513374,0.0 -122.337497,37.506226,0.0 -122.346295,37.511725,0.0 -122.361142,37.53152,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN MATEO,94403,37.5382,38290,CA,5.5298,94403,-122.305,38087,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.302306,37.560663,0.0 -122.293508,37.567812,0.0 -122.287459,37.567812,0.0 -122.277561,37.534269,0.0 -122.329249,37.513374,0.0 -122.302306,37.560663,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN MATEO,94404,37.5559,31103,CA,4.88914,94404,-122.27,31104,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.277561,37.534269,0.0 -122.287459,37.567812,0.0 -122.265464,37.534269,0.0 -122.277561,37.534269,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,ALAMEDA,94501,37.7746,58418,CA,8.15921,94501,-122.275,57673,
,Zip:,ALAMEDA,94502,37.737,14010,CA,2.48275,94502,-122.241,13698,
